[22] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1061ms
[28] URL: https://www.gnu.org | Código: 000 | Tiempo: 1047ms
[20] URL: https://www.mozilla.org | Código: 000 | Tiempo: 1065ms
[24] URL: https://example.com | Código: 000 | Tiempo: 1057ms
[33] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1034ms
[19] URL: https://www.kernel.org | Código: 000 | Tiempo: 1073ms
[17] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 1081ms
[13] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1089ms
[21] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1072ms
[29] URL: https://www.kernel.org | Código: 000 | Tiempo: 1054ms
[26] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 1061ms
[335] URL: https://www.google.com | Código: 000 | Tiempo: 17ms
[10] URL: https://www.mozilla.org | Código: 000 | Tiempo: 1101ms
[15] URL: https://www.google.com | Código: 000 | Tiempo: 1086ms
[27] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 1055ms
[337] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 11ms
[336] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 21ms
[338] URL: https://www.gnu.org | Código: 000 | Tiempo: 11ms
[339] URL: https://www.kernel.org | Código: 000 | Tiempo: 14ms
[341] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 10ms
[340] URL: https://www.mozilla.org | Código: 000 | Tiempo: 11ms
[342] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 10ms
[343] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 13ms
[346] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 13ms
[347] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 11ms
[344] URL: https://example.com | Código: 000 | Tiempo: 15ms
[345] URL: https://www.google.com | Código: 000 | Tiempo: 13ms
[348] URL: https://www.gnu.org | Código: 000 | Tiempo: 11ms
[350] URL: https://www.mozilla.org | Código: 000 | Tiempo: 12ms
[349] URL: https://www.kernel.org | Código: 000 | Tiempo: 14ms
[351] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 12ms
[352] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 12ms
[353] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 12ms
[354] URL: https://example.com | Código: 000 | Tiempo: 14ms
[355] URL: https://www.google.com | Código: 000 | Tiempo: 14ms
[356] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 15ms
