[170] URL: https://www.mozilla.org | Código: 200 | Tiempo: 450ms
[160] URL: https://www.mozilla.org | Código: 200 | Tiempo: 600ms
[152] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 869ms
[169] URL: https://www.kernel.org | Código: 200 | Tiempo: 454ms
[153] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 857ms
[151] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 915ms
[144] URL: https://example.com | Código: 200 | Tiempo: 1149ms
[165] URL: https://www.google.com | Código: 200 | Tiempo: 596ms
[157] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 757ms
[167] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 651ms
[179] URL: https://www.kernel.org | Código: 200 | Tiempo: 524ms
[166] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 743ms
[148] URL: https://www.gnu.org | Código: 200 | Tiempo: 1192ms
[180] URL: https://www.mozilla.org | Código: 200 | Tiempo: 520ms
[156] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 949ms
[175] URL: https://www.google.com | Código: 200 | Tiempo: 634ms
[162] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 844ms
[161] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 892ms
[164] URL: https://example.com | Código: 200 | Tiempo: 870ms
[177] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 695ms
[154] URL: https://example.com | Código: 200 | Tiempo: 1137ms
[176] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 751ms
[189] URL: https://www.kernel.org | Código: 200 | Tiempo: 395ms
[163] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 944ms
[173] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 859ms
[171] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 898ms
[172] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 921ms
